"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","comparison","group_col","ident_1","ident_2","direction"
"PRKCQ",1.11807479891884e-07,-4.01250979077473,0.021,0.333,0.00340733294970517,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"SATB1-AS1",1.39825605852576e-07,-4.18757801148118,0.005,0.167,0.00426118533835726,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"LAIR1",1.47531176600519e-07,-7.23295613319269,0.006,0.167,0.00449601260690082,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IL32",1.5087340849373e-07,-4.32724305586311,0.251,1,0.00459786712384642,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"LRMP",1.56740831511517e-07,-5.64574630854691,0.006,0.167,0.00477667684031348,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PRKX",1.62446934614974e-07,-3.95573622832351,0.049,0.5,0.00495057033239133,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"GPRIN3",1.67231907311732e-07,-4.49718659583552,0.022,0.333,0.00509639237532504,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PARP15",1.67918518865455e-07,-5.61644308526544,0.022,0.333,0.00511731686242474,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"IL7R",1.88479609946179e-07,-2.79139481847173,0.046,0.5,0.0057439161131098,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"MATK",1.96846470909663e-07,-7.64861581035105,0.006,0.167,0.00599889620097198,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"SLC45A4",2.34626188584787e-07,-4.88340546810502,0.023,0.333,0.00715023309712138,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"KHDRBS2",2.68346636415047e-07,-6.18651058353757,0.006,0.167,0.00817786374474856,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"TSPAN32",2.71842946585495e-07,-5.73163433688543,0.006,0.167,0.00828441379719296,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"RAB11FIP4",2.9950440986336e-07,-4.68159235126342,0.006,0.167,0.00912739689058589,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"RUNX3",3.04819075951692e-07,-5.39936093577778,0.023,0.333,0.00928936133962782,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"PABPC1L",3.21644779296894e-07,-4.77510087086547,0.023,0.333,0.00980212464907283,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"EMB",3.34852239227214e-07,-4.62692110968151,0.023,0.333,0.0102046219904494,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
"TNFSF8",3.40260474352665e-07,-2.48376874266973,0.022,0.333,0.0103694379558975,"STA_vs_Unruptured","stage","STA","Unruptured","up_in_Unruptured"
